mrun,distancia,p_prioritario,simce_let,simce_mat,cod_nivel,prioridad_h,es_mujer,prioritario,alto_rendimiento,tipo,alt
10871941,0.99655,0,550,550,9,0,1,1,1,no_muni & no_conv,1
10871941,4.0307,0,328,374,9,0,1,1,1,mun & no_conv,0
10871941,5.5687,0.022222,226,242,9,0,1,1,1,no_mun & conv,0
10871941,4.0825,0,294,327,9,0,1,1,1,mun & conv,0
11239426,5.7424,0.058824,285,333,7,0,1,1,1,no_muni & no_conv,0
11239426,7.0043,0.15185,304,323,7,0,1,1,1,mun & no_conv,0
11239426,3.147,0,257,295,7,0,1,1,1,no_mun & conv,1
11239426,5.9774,0.15,292,337,7,0,1,1,1,mun & conv,0
11293169,5.6378,0.16667,249,227,7,0,1,0,0,no_muni & no_conv,0
11293169,5.3513,0.15185,304,323,7,0,1,0,0,mun & no_conv,1
11293169,4.5092,0,242,287,7,0,1,0,0,no_mun & conv,0
11293169,3.672,0.15,242,283,7,0,1,0,0,mun & conv,0
11540297,8.4214,0,550,550,7,0,1,0,0,no_muni & no_conv,0
11540297,3.0818,0.15185,304,323,7,0,1,0,0,mun & no_conv,0
11540297,7.9405,0,289,307,7,0,1,0,0,no_mun & conv,0
11540297,3.7084,0.15111,265,292,7,0,1,0,0,mun & conv,1
11775295,0.27064,0,229,231,7,0,0,0,0,no_muni & no_conv,1
11775295,0.51314,0,228,207,7,0,0,0,0,mun & no_conv,0
11775295,1.1644,0,243,242,7,0,0,0,0,no_mun & conv,0
11775295,0.87826,0,550,550,7,0,0,0,0,mun & conv,0
11785609,3.422,0,257,295,8,0,1,0,1,no_muni & no_conv,0
11785609,14.3499,0,304,323,8,0,1,0,1,mun & no_conv,0
11785609,1.7988,0,289,325,8,0,1,0,1,no_mun & conv,0
11785609,16.14,0,265,292,8,0,1,0,1,mun & conv,1
11810294,4.338,0,279,352,9,0,0,0,0,no_muni & no_conv,0
11810294,1.4398,0,228,207,9,0,0,0,0,mun & no_conv,1
11810294,4.1347,0,273,297,9,0,0,0,0,no_mun & conv,0
11810294,5.1347,0,201,213,9,0,0,0,0,mun & conv,0
11815298,6.3785,0,245,235,10,0,1,1,0,no_muni & no_conv,0
11815298,3.5839,0,297,313,10,0,1,1,0,mun & no_conv,0
11815298,0.10394,0,223,198,10,0,1,1,0,no_mun & conv,1
11815298,1.0594,0,236,228,10,0,1,1,0,mun & conv,0
11866680,127.1302,0,550,550,9,0,1,0,1,no_muni & no_conv,0
11866680,131.0645,0,304,323,9,0,1,0,1,mun & no_conv,1
11866680,131.8724,0,270,334,9,0,1,0,1,no_mun & conv,0
11866680,133.3752,0,265,292,9,0,1,0,1,mun & conv,0
12139259,1.0704,0,304,317,7,0,1,0,0,no_muni & no_conv,0
12139259,5.1635,0.15185,304,323,7,0,1,0,0,mun & no_conv,0
12139259,1.2794,0,257,295,7,0,1,0,0,no_mun & conv,0
12139259,4.9258,0.15111,265,292,7,0,1,0,0,mun & conv,1
12153018,0.43206,0,233,243,9,1,0,1,1,no_muni & no_conv,1
12153018,0.67048,0,311,351,9,1,0,1,1,mun & no_conv,0
12153018,0.5062,0,291,362,9,1,0,1,1,no_mun & conv,0
12153018,9.948,0.013889,203,179,9,1,0,1,1,mun & conv,0
12253571,3.4905,0.10092,276,332,7,0,1,0,0,no_muni & no_conv,1
12253571,3.308,0.15789,550,550,7,0,1,0,0,mun & no_conv,0
12253571,0.43825,0,229,240,7,0,1,0,0,no_mun & conv,0
12253571,0.37235,0.058333,550,550,7,0,1,0,0,mun & conv,0
12420438,0.74964,0,243,265,9,0,1,1,1,no_muni & no_conv,0
12420438,10.5518,0.059524,231,224,9,0,1,1,1,mun & no_conv,1
12420438,0.91728,0,216,223,9,0,1,1,1,no_mun & conv,0
12420438,11.9097,0,233,217,9,0,1,1,1,mun & conv,0
12738039,0.53341,0,245,273,9,0,0,0,1,no_muni & no_conv,0
12738039,2.3027,0,328,374,9,0,0,0,1,mun & no_conv,0
12738039,2.7718,0,253,280,9,0,0,0,1,no_mun & conv,0
12738039,1.7151,0,296,333,9,0,0,0,1,mun & conv,1
12948289,2.0202,0,275,315,9,0,0,0,0,no_muni & no_conv,0
12948289,15.5409,0,328,374,9,0,0,0,0,mun & no_conv,1
12948289,1.4404,0,300,335,9,0,0,0,0,no_mun & conv,0
12948289,3.2,0,329,383,9,0,0,0,0,mun & conv,0
13284765,1.4159,0,266,251,7,0,0,0,0,no_muni & no_conv,0
13284765,2.4588,0.15,311,351,7,0,0,0,0,mun & no_conv,1
13284765,0.93773,0,237,260,7,0,0,0,0,no_mun & conv,0
13284765,17.0313,0.022222,256,302,7,0,0,0,0,mun & conv,0
13366357,1.5581,0,244,234,9,0,0,0,0,no_muni & no_conv,1
13366357,1.005,0,297,313,9,0,0,0,0,mun & no_conv,0
13366357,3.9254,0,231,219,9,0,0,0,0,no_mun & conv,0
13366357,4.9473,0,236,228,9,0,0,0,0,mun & conv,0
